Image,Species_Label
eceecd68-aae4-41b5-86fe-5a0b954b038e.jpg,0
224f5a7b-e6ad-479d-a6ae-a26812e4e038.jpg,0
461e8e5f-8221-441c-971a-aecfcaf05564.jpg,0
a62fab23-6107-46e5-aae0-7ff9bc0a2363.jpg,1
7e27f920-cecd-4d86-9e2a-9a667b14d787.jpg,1
37696672-d175-4aa8-b005-469ad70468e6.jpg,1
b1774a7d-46b9-44c1-87a9-9ed376a4367d.jpg,0
689295a0-d2d9-4d80-b4e2-471d430a42ca.jpg,1
229bf4f4-f718-4432-8ebe-4c7b3c04e5eb.jpg,0
e85442bf-758c-4efa-b2ce-802d45010655.jpg,1
d78c875f-d4a2-4117-a167-9878f28a1e20.jpg,0
9609f1ba-e8b3-43a9-877a-b8e73b5c1e67.jpg,1
1d114489-eb9e-4946-9e7b-d3a478525b1e.jpg,1
7bf17a64-be1f-4f4b-bbfb-3ca0774b05ea.jpg,1
3ff02a33-ecd7-40c1-bce1-823998f45d32.jpg,0
2db9cdd7-e788-41c0-be9b-f1d5465fff94.jpg,0
4ac0b0ef-b8e8-480e-b504-eced426c8a91.jpg,0
685b1b4d-0e62-4868-b7a5-5fd49b8685df.jpg,0
300af62f-08bb-4d12-b0dd-0a7322abf9ba.jpg,0
9c1e0cff-39fc-42b8-b280-49bf3b2b3825.jpg,1
d38f6802-4d55-43d6-918f-57d975f138e1.jpg,1
fcbd660c-c2b1-471a-a5c3-96bd0aebd7ba.jpg,0
d31b8b8f-8079-41b5-97fe-c860be5b6219.jpg,1
2fbee56a-765d-49d9-830f-0755b02578aa.jpg,0
9cc8e983-5d0f-4ada-bce6-27c76a6b9f8b.jpg,1
0a29cf0f-e2b0-49d0-9b0b-5601290bfe62.jpg,0
7c4b7d55-e675-4f8b-a12a-2754cce7617c.jpg,0
eb1e2faa-de17-42ee-ab0c-012d8be7b275.jpg,0
1ee6bb0d-ef40-47d2-bb3a-f4c1371f719f.jpg,1
56cef7d7-fec5-4157-b8b6-2c511bb4b89d.jpg,0
528e6b6e-cef4-41a0-b6ba-56b950f231f4.jpg,1
4a174c27-06dd-4330-90ca-f7405a0de88e.jpg,0
2a451c56-2cdc-420a-8548-c96bb2981a8a.jpg,1
44c856cc-96bb-4e06-9590-df677887bc83.jpg,0
e81629d6-ef09-43a4-9362-61beaddd93df.jpg,0
a0fc3fe2-267a-4b09-8f20-af02f8dc74c5.jpg,0
7bc00dbe-aaba-4491-83b2-bdddc8b20858.jpg,1
4a65910a-1021-44f4-a0fe-097e2ded10d4.jpg,1
428ee479-6b53-4905-a158-fa34565e0496.jpg,0
acff41ea-6bba-4fa0-99ea-b163e5d3ae00.jpg,0
6412d86e-c546-469e-87e8-c545cadedd86.jpg,0
300ead54-b6dc-435c-81c0-5c7df2dff6b3.jpg,0
6276d317-6601-4189-8d1c-bb0d6a7c20f3.jpg,0
e656627b-bc25-4c07-bead-e854609fcfdb.jpg,1
c01356a6-3580-4db4-b223-179c0cb9a598.jpg,1
8a9e52a1-d32e-494a-9cdf-776503b9fc8b.jpg,1
33c6938d-d22c-49ef-bd26-4ed111752dc1.jpg,0
bf53a891-abbe-417c-a180-68260bff10ee.jpg,0
27db565b-77a3-4d7e-b1a3-facab975b870.jpg,0
240e2c1f-f104-46cf-9d27-cc4404d68ab8.jpg,1
2f155e5c-e3cf-482e-aea1-bbb325e1862e.jpg,1
1c83d0dc-6ba3-46b8-b5e7-654743bdf078.jpg,1
9323f68f-eb41-4bf0-b65f-b5ca9fe7c65f.jpg,0
4422cabb-f7c2-49ed-8f3e-5b931fc8e4ff.jpg,0
7c0500b4-627c-4c25-a72d-eedc7c9e2d59.jpg,1
0aeb9c39-5066-436a-8e5d-f7b7172d45aa.jpg,1
45235b61-5fee-44f7-b883-2f9f615f1ae5.jpg,0
71e8301c-833d-4023-803c-680ffbc96863.jpg,0
c79fbd99-9e79-4cd6-a0d2-c4790e764529.jpg,1
74d8732a-4a49-457f-9206-78c5b607803a.jpg,0
8939b862-7716-4ab6-a048-088cb177bab7.jpg,1
4426e9c0-b461-459d-b65b-7390ba98ebab.jpg,1
d76508da-6129-42e4-936e-3508015d85bc.jpg,0
9158f688-5fa7-4054-bf67-7e80d37eb691.jpg,1
595a6357-f4e0-4daf-bf1a-033aa6ff6e7b.jpg,0
413bab79-39c7-47ca-affa-7183c1307112.jpg,0
10fc0548-5d49-45b0-866b-a81353f194af.jpg,0
7e7cdf15-e2af-46e1-a307-3141f6e3d069.jpg,1
02ce6dc4-c45d-452a-bf67-7b14d53b659a.jpg,0
4f9e3349-e03e-462c-a4ec-562be2128c53.jpg,1
f79da8ad-00f5-4d68-98a0-588109d13804.jpg,0
ed88c8a0-9373-449b-9adc-c1d5c19db385.jpg,1
2fa40c49-e2c0-4c1e-a75b-b438b61372fa.jpg,0
e3376de0-0c40-4957-8e20-f2150f9b7023.jpg,0
b48b4f71-5803-4908-bc64-3ae797b131fc.jpg,1
4fb9820b-9382-47fc-8a30-d5fb15ff0df4.jpg,0
47b2f08c-11e3-497c-8d23-b76535973ddc.jpg,0
03c22790-df80-4bb0-9490-85757eb4c84b.jpg,0
8d727a39-8e4c-4aa8-92e4-319c739367ea.jpg,1
249e8ebf-31b3-47ab-9f43-a8d0c00e7381.jpg,0
9bccb25a-c391-458c-abf6-7706e4deec35.jpg,1
5eed700e-01d6-4431-b4a2-c0af88830f40.jpg,0
